sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
4837,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4830,1872,T. G. Masaryka,611,Šluknov,Šluknov,40777,Ústecký kraj,51.0046163,14.459185
4810,1397,Petržílkova,2565/23,Stodůlky,Praha,15800,Hlavní město Praha,50.0505486,14.3425118
4809,1397,Petržílkova,2565/23,Stodůlky,Praha,15800,Hlavní město Praha,50.0505486,14.3425118
4808,1397,Petržílkova,2565/23,Stodůlky,Praha,15800,Hlavní město Praha,50.0505486,14.3425118
4783,700,Pěší,9,Děčín XXXIII-Nebočady,Děčín,40502,Ústecký kraj,50.7304755,14.1908622
4781,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
4716,1872,T. G. Masaryka,611,Šluknov,Šluknov,40777,Ústecký kraj,51.0046163,14.459185
4704,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
4703,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
4702,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4701,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4693,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
4692,1837,Antonína Dvořáka,2430/18,Most,Most,43401,Ústecký kraj,50.5106254,13.639584
4688,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
4687,1832,Sídliště,1019,Šluknov,Šluknov,40777,Ústecký kraj,51.0007725,14.4617875
4681,282,Nádražní,933,Podbořany,Podbořany,44101,Ústecký kraj,50.2244854,13.4068903
4680,282,Nádražní,933,Podbořany,Podbořany,44101,Ústecký kraj,50.2244854,13.4068903
4678,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4673,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4665,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4649,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4627,1050,K. Maličkého,382/16,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
4624,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
4615,112,Šafaříkova,852,Žatec,Žatec,43801,Ústecký kraj,50.3244303,13.548301
4597,1497,Lázeňská,485/2,Malá Strana,Praha,11800,Hlavní město Praha,50.0862567,14.4059776
4594,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4587,769,K. Maličkého,418/2,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
4574,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
4573,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
4572,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4555,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4554,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4553,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4541,1836,Mírová,111,Obrnice,Obrnice,43521,Ústecký kraj,50.5051318,13.6945284
4540,1836,Mírová,111,Obrnice,Obrnice,43521,Ústecký kraj,50.5051318,13.6945284
4539,1836,Mírová,111,Obrnice,Obrnice,43521,Ústecký kraj,50.5051318,13.6945284
4529,700,Pěší,9,Děčín XXXIII-Nebočady,Děčín,40502,Ústecký kraj,50.7304755,14.1908622
4527,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4515,1422,U Kanálky,1559/5,Vinohrady,Praha,12000,Hlavní město Praha,50.0776061,14.4459008
4509,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4504,256,None,119,Brtníky,Staré Křečany,40760,Ústecký kraj,50.947595,14.4415449
4484,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4482,1836,Mírová,111,Obrnice,Obrnice,43521,Ústecký kraj,50.5051318,13.6945284
4478,1894,Sebuzínská,175,Brná,Ústí nad Labem,40321,Ústecký kraj,50.6240029,14.075909
4475,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4474,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4473,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
4470,1694,Masarykova,1094/4,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9130726,14.50939
4462,1874,Janáčkova,459,Děčín XXXII-Boletice nad Labem,Děčín,40711,Ústecký kraj,50.7369699,14.1966274
4461,1897,Radniční,1/2,Most,Most,43401,Ústecký kraj,50.5028219,13.6404648
4456,416,Věžní,958,Kadaň,Kadaň,43201,Ústecký kraj,50.3761366,13.2759279
4455,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
4449,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
4412,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
4406,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
4375,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
4366,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
4364,955,Palackého,205/4,Rumburk 1,Rumburk,40801,Ústecký kraj,50.9505535,14.5593938
4344,1794,Na Příkopě,130,Šluknov,Šluknov,40777,Ústecký kraj,51.004585,14.4509125
4330,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4323,1791,Okružní,943/4,Most,Most,43401,Ústecký kraj,50.4954928,13.6648002
4301,1512,Havlíčkova,276,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4272937,14.254818
